,sarimax,prophet,general forecast
2024-04-03,17486.42323074505,834981.9510620647,132856.06
2024-04-04,18713.539993132796,933785.9844096302,148459.69
2024-04-05,20193.58609795177,777426.946138726,124243.2
2024-04-06,27736.972241446136,929365.0108441865,149025.69
2024-04-07,34501.78973918576,685436.3246999591,111867.15
2024-04-08,26906.751523425013,584440.1713060103,95034.37
2024-04-09,18323.108153600555,879696.2050903133,139956.73
2024-04-10,17524.47912214392,934615.963182061,148423.73
2024-04-11,18734.734160908276,903458.8396270325,143725.66
2024-04-12,20215.003362494197,775803.6134886368,123992.63
2024-04-13,27500.107883181874,924582.4960508404,148245.72
2024-04-14,34199.586976483646,628482.1061802633,102929.086
2024-04-15,27028.890465244855,650644.7354843968,105392.234
2024-04-16,18519.796984966455,890262.366826184,141634.52
2024-04-17,17566.24177740868,977389.5262673754,155110.6
2024-04-18,18755.127324156958,942734.0205874374,149863.11
2024-04-19,20235.59214215936,876354.4626931564,139701.1
2024-04-20,27273.7405898399,947137.2884308294,151737.14
2024-04-21,33902.91562192552,577396.2619087609,94908.38
2024-04-22,27141.122761504987,597868.723228766,97164.49
2024-04-23,18714.327882996462,866670.4924173495,137976.66
2024-04-24,17611.535930941685,1039290.0107905978,164785.48
2024-04-25,18774.880213918983,902514.0714618404,143583.69
2024-04-26,20255.35023559215,718349.4509914694,115024.164
2024-04-27,27057.344217563757,840349.2227251064,135027.19
2024-04-28,33611.84944779975,486566.9085644267,80680.72
2024-04-29,27243.787313586356,504129.631266586,82537.16
2024-04-30,18906.527474935465,763985.950160444,121964.55
2024-05-01,17660.18911970061,810336.9167046354,129030.805
2024-05-02,18794.14257717618,892175.5101023052,141971.55
2024-05-03,20274.281158610524,753521.1131627049,120520.46
2024-05-04,26850.420618587283,786149.6751576138,126532.63
2024-05-05,33326.44315392066,542863.599488712,89434.27
2024-05-06,27337.223984921045,505726.01231444796,82799.52
2024-05-07,19096.233091141065,833405.436256233,132833.98
